p2_Gesture_Tap_Palm0,294,402,
p2_Gesture_Tap_Wrist0,226,338,
p2_Gesture_Tap_Thigh0,241,349,
p2_Gesture_Tap_Palm1,227,339,
p2_Gesture_Tap_Wrist1,186,304,
p2_Gesture_Tap_Thigh1,175,288,
p2_Gesture_Tap_Palm2,184,294,
p2_Gesture_Tap_Wrist2,231,346,
p2_Gesture_Tap_Thigh2,244,350,
p2_Gesture_Tap_Palm3,193,305,
p2_Gesture_Tap_Wrist3,301,413,
p2_Gesture_Tap_Thigh3,253,359,
p2_Gesture_Tap_Palm4,277,389,
p2_Gesture_Tap_Wrist4,246,362,
p2_Gesture_Tap_Thigh4,196,308,
p2_Gesture_Tap_Palm5,211,321,
p2_Gesture_Tap_Wrist5,187,299,
p2_Gesture_Tap_Thigh5,237,349,
p2_Gesture_Tap_Palm6,240,349,
p2_Gesture_Tap_Wrist6,170,283,
p2_Gesture_Tap_Thigh6,166,282,
p2_Gesture_Tap_Palm7,178,287,
p2_Gesture_Tap_Wrist7,165,278,
p2_Gesture_Tap_Thigh7,185,297,
p2_Gesture_Tap_Palm8,209,324,
p2_Gesture_Tap_Wrist8,222,336,
p2_Gesture_Tap_Thigh8,146,273,
p2_Gesture_Tap_Palm9,200,315,
p2_Gesture_Tap_Wrist9,199,310,
p2_Gesture_Tap_Thigh9,153,271,
p2_Gesture_SwipeDown_Palm0,141,283,
p2_Gesture_SwipeDown_Wrist0,181,312,
p2_Gesture_SwipeDown_Thigh0,204,359,
p2_Gesture_SwipeDown_Palm1,179,340,
p2_Gesture_SwipeDown_Wrist1,240,383,
p2_Gesture_SwipeDown_Thigh1,256,405,
p2_Gesture_SwipeDown_Palm2,179,311,
p2_Gesture_SwipeDown_Wrist2,250,389,
p2_Gesture_SwipeDown_Thigh2,260,376,
p2_Gesture_SwipeDown_Palm3,235,393,
p2_Gesture_SwipeDown_Wrist3,254,379,
p2_Gesture_SwipeDown_Thigh3,145,297,
p2_Gesture_SwipeDown_Palm4,242,384,
p2_Gesture_SwipeDown_Wrist4,413,595,
p2_Gesture_SwipeDown_Thigh4,248,401,
p2_Gesture_SwipeDown_Palm5,190,363,
p2_Gesture_SwipeDown_Wrist5,176,317,
p2_Gesture_SwipeDown_Thigh5,125,294,
