p11_Gesture_Tap_Palm0,262,426,
p11_Gesture_Tap_Wrist0,213,340,
p11_Gesture_Tap_Thigh0,383,542,
p11_Gesture_Tap_Palm1,169,313,
p11_Gesture_Tap_Wrist1,256,375,
p11_Gesture_Tap_Thigh1,304,425,
p11_Gesture_Tap_Palm2,207,353,
p11_Gesture_Tap_Wrist2,296,410,
p11_Gesture_Tap_Thigh2,243,382,
p11_Gesture_Tap_Palm3,204,392,
p11_Gesture_Tap_Wrist3,365,514,713,912,
p11_Gesture_Tap_Thigh3,220,437,
p11_Gesture_Tap_Palm4,167,322,
p11_Gesture_Tap_Wrist4,319,470,
p11_Gesture_Tap_Thigh4,234,387,
p11_Gesture_Tap_Palm5,221,381,
p11_Gesture_Tap_Wrist5,317,599,
p11_Gesture_Tap_Thigh5,255,435,
p11_Gesture_Tap_Palm6,203,349,
p11_Gesture_Tap_Wrist6,182,303,
p11_Gesture_Tap_Thigh6,199,359,
p11_Gesture_Tap_Palm7,228,375,
p11_Gesture_Tap_Wrist7,232,352,
p11_Gesture_Tap_Thigh7,160,286,
p11_Gesture_Tap_Palm8,189,328,
p11_Gesture_Tap_Wrist8,200,327,
p11_Gesture_Tap_Thigh8,211,351,
p11_Gesture_Tap_Palm9,184,328,
p11_Gesture_Tap_Wrist9,198,349,
p11_Gesture_Tap_Thigh9,250,365,
p11_Gesture_SwipeDown_Palm0,198,513,
p11_Gesture_SwipeDown_Wrist0,398,777,
p11_Gesture_SwipeDown_Thigh0,305,575,
p11_Gesture_SwipeDown_Palm1,180,508,
p11_Gesture_SwipeDown_Wrist1,228,619,
p11_Gesture_SwipeDown_Thigh1,184,379,
p11_Gesture_SwipeDown_Palm2,154,419,
p11_Gesture_SwipeDown_Wrist2,163,499,
p11_Gesture_SwipeDown_Thigh2,279,513,
p11_Gesture_SwipeDown_Palm3,126,420,
p11_Gesture_SwipeDown_Wrist3,171,679,932,1189,
p11_Gesture_SwipeDown_Thigh3,145,444,
p11_Gesture_SwipeDown_Palm4,148,442,
p11_Gesture_SwipeDown_Wrist4,237,711,
p11_Gesture_SwipeDown_Thigh4,153,449,
p11_Gesture_SwipeDown_Palm5,187,437,
p11_Gesture_SwipeDown_Wrist5,399,716,
p11_Gesture_SwipeDown_Thigh5,204,485,
p11_Gesture_SwipeDown_Palm6,203,478,
p11_Gesture_SwipeDown_Wrist6,369,679,
p11_Gesture_SwipeDown_Thigh6,372,608,
p11_Gesture_SwipeDown_Palm7,464,725,
p11_Gesture_SwipeDown_Wrist7,217,593,
p11_Gesture_SwipeDown_Thigh7,185,434,
p11_Gesture_SwipeDown_Palm8,274,492,
p11_Gesture_SwipeDown_Wrist8,156,414,
p11_Gesture_SwipeDown_Thigh8,151,376,
p11_Gesture_SwipeDown_Palm9,172,444,
